w	d	t_history	r_history	delta_t	p_recall	total_cnt
AIDS	1	0	0	1	0.976	792
Africa	1	0	0	1	0.8592	696
African	1	0	0	1	0.9174	363
Allah	1	0	0	1	0.9524	105
Antarctic	3	0	0	1	0.7874	1176
Antarctica	3	0	0	1	0.7816	293
Arabian	2	0	0	1	0.8392	143
Arabic	2	0	0	1	0.8186	204
Argentina	2	0	0	1	0.8137	102
Arizona	1	0	0	1	0.8505	107
Asian	1	0	0	1	0.9307	332
August	2	0	0	1	0.8234	1110
Australia	3	0	0	1	0.796	299
Australian	1	0	0	1	0.8744	215
Avon	2	0	0	1	0.8472	144
BC	1	0	0	1	0.9333	285
Bible	1	0	0	1	0.8508	2828
Biblical	2	0	0	1	0.8489	450
Brazilian	2	0	0	1	0.8257	109
Brexit	1	0	0	1	0.8657	1333
Britain	2	0	0	1	0.8424	571
British	1	0	0	1	0.8593	533
Broadway	2	0	0	1	0.8491	106
Buddhist	2	0	0	1	0.8411	453
CAD	1	0	0	1	0.8774	106
CV	1	0	0	1	0.8529	102
Cantonese	3	0	0	1	0.7734	384
Catholicism	2	0	0	1	0.8438	192
Celsius	5	0	0	1	0.6792	4876
Chinese	1	0	0	1	0.9074	108
Christ	1	0	0	1	0.892	2621
Christian	1	0	0	1	0.861	2087
Christianity	2	0	0	1	0.8417	537
Confucian	3	0	0	1	0.7897	1460
Confucianism	2	0	0	1	0.8008	994
Confucius	1	0	0	1	0.8597	392
Dacron	5	0	0	1	0.6694	124
Danube	4	0	0	1	0.7254	142
Denmark	1	0	0	1	0.8979	421
England	1	0	0	1	0.904	125
Enlightenment	1	0	0	1	0.9053	243
Ethernet	3	0	0	1	0.7953	171
Eurobond	2	0	0	1	0.8333	168
Exchequer	3	0	0	1	0.7701	174
Fahrenheit	4	0	0	1	0.7038	628
February	3	0	0	1	0.778	1329
German	1	0	0	1	0.8576	302
Germany	2	0	0	1	0.83	347
Gmail	1	0	0	1	0.92	100
Greece	2	0	0	1	0.8026	233
HRH	3	0	0	1	0.8	115
Hispanic	2	0	0	1	0.839	621
India	1	0	0	1	0.9141	198
Irish	2	0	0	1	0.8357	140
Israel	1	0	0	1	0.9035	114
January	2	0	0	1	0.8135	1249
Jesus	1	0	0	1	0.8522	115
Jew	1	0	0	1	0.8896	163
Jewish	2	0	0	1	0.8156	179
July	1	0	0	1	0.863	927
June	2	0	0	1	0.8449	851
Jupiter	2	0	0	1	0.8056	252
Korean	2	0	0	1	0.8258	178
Luddite	5	0	0	1	0.6968	310
MA	1	0	0	1	0.8559	222
ME	2	0	0	1	0.8478	138
Mafia	4	0	0	1	0.75	104
Malaysia	1	0	0	1	0.9078	141
